Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Single Arm Kettlebell Half Kneeling Dead Clean,,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Half Kneeling,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Single Arm Kettlebell Half Kneeling Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Half Kneeling,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Single Arm Kettlebell Half Kneeling Snatch,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Half Kneeling,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Kettlebell Front Rack Alternating Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Kettlebell Front Rack Squat to Alternating Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Combo Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Kettlebell Bottoms Up Horn Grip Toe Balance Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Toe Balance Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Balance
Single Arm Contralateral Single Leg Push Up,Video Demonstration,,Expert,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,0,,,Prone,Single Arm,Continuous,Flat Palm,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Calisthenics
Single Arm Barbell Overhead Toe Balance Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Toe Balance Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Barbell Overhead Toe Balance Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Toe Balance Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Balance
Double Kettlebell Dead Squat Clean,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Single Arm Kettlebell Dead Squat Clean,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Unilateral,
Ring Kneeling Rollout,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Kneeling,Double Arm,Continuous,Pronated,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Ring Kneeling Rollout,,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,1,,,Kneeling,Single Arm,Continuous,Pronated,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Ring Standing Rollout,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Standing,Double Arm,Continuous,Pronated,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Ring Alternating Single Arm Reach Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Rectus Abdominis,,Gymnastic Rings,2,,,Prone,Double Arm,Alternating,Pronated,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring L Sit Dips,Video Demonstration,,Advanced,Triceps,Triceps Brachii ,Rectus Abdominis ,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Kettlebell Goblet Cyclist Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Slant Board,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Kettlebell Bottoms Up Horn Grip Cyclist Squat,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Slant Board,1,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Cyclist Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Slant Board,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Dead Clean to Overhead Press,,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Kettlebell Dead Clean to Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Vertical Push,Knee Dominant,Hip Hinge,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Single Arm Kettlebell Dead Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Alternating Single Arm Kettlebell Dead Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Standing,Single Arm,Alternating,Pronated,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Kettlebell Dead Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Barbell Decline Bench Press,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Barbell,1,Bench (Decline),1,Supine,Double Arm,Continuous,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Bodyweight Hand Assisted Bulgarian Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Single Leg Supported,Single Arm,Continuous,Hand Assisted,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Bulgarian Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Single Leg Supported,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Stability Ball Otis Up,,,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Supine,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Plate Otis Up,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Weight Plate,1,,,Supine,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Double Kettlebell Otis Up,,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Supine,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Kettlebell Otis Up,,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Supine,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Kettlebell Horn Grip Otis Up,,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Supine,Double Arm,Continuous,Horn Grip,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Double Kettlebell Bottoms Up Otis Up,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Supine,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Kettlebell Bottoms Up Otis Up,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Supine,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Kettlebell Bottoms Up Turkish Sit Up,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Supine,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Double Kettlebell Bottoms Up Turkish Sit Up,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Supine,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Double Kettlebell Bottoms Up Turkish Sit Up to Z Press,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Seated Floor,Double Arm,Continuous,Bottoms Up,Overhead,Combo Exercise,Spinal Flexion,Vertical Push,,Sagittal Plane,,,Midsection,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Turkish Sit Up to Z Press,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Seated Floor,Single Arm,Continuous,Pronated,Overhead,Combo Exercise,Spinal Flexion,Vertical Push,,Sagittal Plane,,,Midsection,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Turkish Sit Up to Z Press,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Seated Floor,Single Arm,Continuous,Bottoms Up,Overhead,Combo Exercise,Spinal Flexion,Vertical Push,,Sagittal Plane,,,Midsection,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Decline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Flat Bench Chest Fly,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,,,Dumbbell,2,Bench (Flat),1,Supine,Double Arm,Continuous,Neutral,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Dumbbell Decline Bench Chest Fly,Video Demonstration,,Beginner,Chest,Pectoralis Major,,,Dumbbell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Neutral,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Kettlebell Alternating Rotational Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,,,Kettlebell,2,,,Standing,Double Arm,Alternating,Neutral,Overhead,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Upper Body,,Compound,Unilateral,
Double Kettlebell Clean to Alternating Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Alternating,Neutral,Overhead,Combo Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,,Compound,Unilateral,
Single Arm Kettlebell Rotational Thruster,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,,,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,Push,Compound,Unilateral,
Alternating Single Arm Kettlebell Clean to Rotational Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Alternating,Neutral,Overhead,Combo Exercise,Rotational,Vertical Push,Hip Hinge,Transverse Plane,Sagittal Plane,,Full Body,,Compound,Unilateral,
Double Kettlebell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Single Arm Kettlebell Clean to Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Alternating,Neutral,Overhead,Combo Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,,Compound,Unilateral,
Alternating Single Arm Kettlebell Bottoms Up Clean to Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Alternating,Bottoms Up,Overhead,Combo Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Kettlebell Bottoms Up Clean to Alternating Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Combo Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Kettlebell Bottoms Up Dead Clean,,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Hip Hinge,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Double Kettlebell Bottoms Up Dead Clean to Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Double Kettlebell Bottoms Up Dead Clean to Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Combo Exercise,Vertical Push,Knee Dominant,Hip Hinge,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Double Kettlebell Bottoms Up Dead Clean to Alternating Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Combo Exercise,Rotational,Vertical Push,Knee Dominant,Transverse Plane,,,Full Body,,Compound,Unilateral,
Double Kettlebell Bottoms Up Dead Clean to Alternating Rotational Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Combo Exercise,Rotational,Vertical Push,Knee Dominant,Transverse Plane,,,Full Body,,Compound,Unilateral,
Double Kettlebell Dead Clean to Alternating Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Alternating,Neutral,Overhead,Combo Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Kettlebell Dead Clean to Alternating Rotational Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Alternating,Neutral,Overhead,Combo Exercise,Rotational,Vertical Push,Knee Dominant,Transverse Plane,,,Full Body,,Compound,Unilateral,Ballistics
Single Ring Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,1,,,Hanging,Double Arm,Continuous,Supinated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Double Kettlebell Windmill,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Single Arm Suspension Single Leg Standing Bent Knee Contralateral Low Row,,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Contralateral,
Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Low Row,,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Ipsilateral,
Suspension Single Leg Standing Bent Knee Bicep Curl,,,Intermediate,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,1,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Supinated,No Load,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,
Single Arm Suspension Single Leg Bent Knee Contralateral Bicep Curl,,,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,1,,,Single Leg Standing,Single Arm,Continuous,Supinated,No Load,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Contralateral,
Single Arm Suspension Single Leg Bent Knee Ipsilateral Bicep Curl,,,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,1,,,Single Leg Standing,Single Arm,Continuous,Supinated,No Load,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Ipsilateral,
Single Arm Plate Teacup,,Video Explanation,Intermediate,Shoulders,Posterior Deltoids,Anterior Deltoids,,Weight Plate,1,,,Standing,Single Arm,Continuous,Supinated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,,Compound,Unilateral,Mobility
Ring L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Supinated,No Load,Single Exercise,Vertical Pull,Isometric Hold,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Single Ring L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Gymnastic Rings,1,,,Hanging,Double Arm,Continuous,Supinated,No Load,Single Exercise,Vertical Pull,Isometric Hold,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Barbell Front Rack Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Single Leg Supported,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Single Leg Supported,Double Arm,Continuous,Pronated,Back Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Suspension Contralateral Pistol Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,,,Single Leg Standing,Single Arm,Continuous,Neutral,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,
Barbell Front Rack Alternating Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Dragon Flag,,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Double Kettlebell Dragon Flag,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Supine,Double Arm,Continuous,Supinated,Other,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
